"Exercise_Activity" "Subject" "average" "standard deviation"
"WALKING" 24 0.163570884401156 -0.76613503133664
"WALKING" 25 0.184187177611797 -0.749177399303423
"WALKING" 26 0.184527547683984 -0.768316052642296
"WALKING" 27 0.158376751360181 -0.784355449589149
"WALKING" 28 0.0963077625441928 -0.768550531317382
"WALKING" 29 0.193122785032132 -0.74341660035768
"WALKING" 30 0.180882978272285 -0.71683777167364
"WALKING_DOWNSTAIRS" 1 -0.0619597210240848 -0.610896652355082
"WALKING_DOWNSTAIRS" 2 -0.0619204148730897 -0.699067374034053
"WALKING_DOWNSTAIRS" 3 -0.0638218939166178 -0.741130768168964
"WALKING_DOWNSTAIRS" 4 -0.0685703345265194 -0.7667780001551
"WALKING_DOWNSTAIRS" 5 -0.0677370483656733 -0.670593358833444
"WALKING_DOWNSTAIRS" 6 -0.0605897098458769 -0.605086203455046
"WALKING_DOWNSTAIRS" 7 -0.0655582236804719 -0.68839415222895
"WALKING_DOWNSTAIRS" 8 -0.0677835980233926 -0.632099033599585
"WALKING_DOWNSTAIRS" 9 -0.0607876065091667 -0.702358181546262
"WALKING_DOWNSTAIRS" 10 -0.0687083186670181 -0.670344432933957
"WALKING_DOWNSTAIRS" 11 -0.0593175847538502 -0.769007696510918
"WALKING_DOWNSTAIRS" 12 -0.0580835883906562 -0.734052136466458
"WALKING_DOWNSTAIRS" 13 -0.0634912577764526 -0.691942292885831
"WALKING_DOWNSTAIRS" 14 -0.0653151865618225 -0.60243421056628
"WALKING_DOWNSTAIRS" 15 -0.0652608751867581 -0.751405171876931
"WALKING_DOWNSTAIRS" 16 -0.0676567409275228 -0.818700052993625
"WALKING_DOWNSTAIRS" 17 -0.0659585889122826 -0.777874524426766
"WALKING_DOWNSTAIRS" 18 -0.065140133867674 -0.815511089937271
"WALKING_DOWNSTAIRS" 19 -0.0616265868670926 -0.659808433069157
"WALKING_DOWNSTAIRS" 20 -0.0635726397700471 -0.634148732643969
"WALKING_DOWNSTAIRS" 21 -0.0649226789057304 -0.780538646823864
"WALKING_DOWNSTAIRS" 22 -0.0686445378514538 -0.740920900881776
"WALKING_DOWNSTAIRS" 23 -0.0673890857516846 -0.646835691012634
"WALKING_DOWNSTAIRS" 24 -0.0647343784309011 -0.766973572206212
"WALKING_DOWNSTAIRS" 25 -0.0676101940901875 -0.78099373754564
"WALKING_DOWNSTAIRS" 26 -0.0650390791234592 -0.768705286308163
"WALKING_DOWNSTAIRS" 27 -0.0643245067709991 -0.785562070155142
"WALKING_DOWNSTAIRS" 28 -0.0645622284814311 -0.744443705937391
"WALKING_DOWNSTAIRS" 29 -0.0320810717526692 -0.739141504574325
"WALKING_DOWNSTAIRS" 30 -0.0249671094031201 -0.675872890972272
"WALKING_UPSTAIRS" 1 0.0103039625252765 -0.658690798888367
"WALKING_UPSTAIRS" 2 0.0107578688738483 -0.59609498467619
"WALKING_UPSTAIRS" 3 0.0119324484694719 -0.728932268556158
"WALKING_UPSTAIRS" 4 0.010509357952266 -0.736210199242661
"WALKING_UPSTAIRS" 5 0.0104428902347539 -0.702268891999503
"WALKING_UPSTAIRS" 6 0.0104904366023282 -0.665692809570838
"WALKING_UPSTAIRS" 7 0.0106937609870887 -0.706442594576404
"WALKING_UPSTAIRS" 8 0.00700064099216607 -0.656563861859075
"WALKING_UPSTAIRS" 9 0.00929078118564815 -0.724848361504948
"WALKING_UPSTAIRS" 10 0.0115422090655142 -0.689763880579243
"WALKING_UPSTAIRS" 11 0.00976121972021862 -0.766857781557674
"WALKING_UPSTAIRS" 12 0.00834251591909271 -0.723302146154102
"WALKING_UPSTAIRS" 13 0.00865465827718094 -0.718942731668563
"WALKING_UPSTAIRS" 14 0.00691915460926264 -0.700301813417446
"WALKING_UPSTAIRS" 15 0.0108054762959715 -0.747857349957157
"WALKING_UPSTAIRS" 16 0.0122146019744827 -0.794027254896926
"WALKING_UPSTAIRS" 17 0.0120406589703161 -0.778418922920788
"WALKING_UPSTAIRS" 18 0.0128059013119772 -0.818576392218407
"WALKING_UPSTAIRS" 19 0.0114638119957093 -0.697385679379785
"WALKING_UPSTAIRS" 20 0.00999260558274341 -0.710654385667161
"WALKING_UPSTAIRS" 21 0.00917956992737753 -0.774960090525805
"WALKING_UPSTAIRS" 22 0.0108999778423053 -0.711245836098442
"WALKING_UPSTAIRS" 23 0.0111994735579001 -0.691112474633407
"WALKING_UPSTAIRS" 24 0.0100175175816785 -0.779594784978215
"WALKING_UPSTAIRS" 25 0.0150474422892702 -0.81516949569621
"WALKING_UPSTAIRS" 26 0.0116143996145434 -0.773798764866774
"WALKING_UPSTAIRS" 27 0.0118166197196937 -0.77954368475748
"WALKING_UPSTAIRS" 28 0.0140949137801069 -0.769882448368325
"WALKING_UPSTAIRS" 29 -0.000372737846146094 -0.7485811955221
"WALKING_UPSTAIRS" 30 -0.00540814711373003 -0.762713731928851
